date,open,high,low,close,mean,volume,open_interest
2026-07-03,0.07,0.11,0.04,0.11,0.0745,1524564.53,2749647.0
2026-07-04,0.11,0.23,0.04,0.19,0.1634,1334534.01,3505086.27
2026-07-05,0.19,0.2,0.04,0.08,0.1389,645037.76,3696563.06
2026-07-06,0.08,0.08,0.04,0.07,0.0665,569351.41,4038530.0
2026-07-07,0.07,0.08,0.03,0.04,0.0519,605414.59,4377673.2
2026-07-08,0.03,0.16,0.03,0.12,0.0886,897671.48,4806752.28
2026-07-09,0.12,0.28,0.08,0.11,0.1232,625600.66,5177570.51
2026-07-10,0.11,0.22,0.05,0.07,0.0968,764103.92,5674892.99
2026-07-11,0.07,0.15,0.01,0.14,0.0949,1490158.33,6513717.55
2026-07-12,0.14,0.14,0.06,0.11,0.1048,708604.05,6830914.05
2026-07-13,0.11,0.12,0.07,0.08,0.0951,384119.61,7027417.71
2026-07-14,0.08,0.1,0.07,0.08,0.0867,748461.27,7447643.79
2026-07-15,0.09,0.15,0.05,0.14,0.1098,1191946.39,8034341.68
2026-07-16,0.13,0.15,0.08,0.12,0.1295,1051279.19,8412826.26
2026-07-17,0.13,0.18,0.11,0.13,0.1344,1252832.81,9101817.29
2026-07-18,0.14,0.18,0.01,0.18,0.1386,1311301.95,9772828.99
2026-07-19,0.18,0.18,0.06,0.12,0.1154,1677926.78,10606144.5
2026-07-20,0.11,0.12,0.07,0.09,0.0907,1118153.76,11294494.0
2026-07-21,0.09,0.18,0.08,0.15,0.1259,2242683.26,12619428.2
2026-07-22,0.15,0.17,0.01,0.09,0.1075,1855589.69,13421690.37
2026-07-23,0.1,0.25,0.05,0.1,0.0962,1885755.6,14388747.11
2026-07-24,0.1,0.1,0.07,0.09,0.0862,916567.81,14774416.53
