date,lebron,lebron_philly,lebron_sixers,lebron_76ers
2026-07-03,22,0,1,0
2026-07-04,18,0,0,0
2026-07-05,17,0,0,0
2026-07-06,15,0,0,0
2026-07-07,13,0,0,0
2026-07-08,12,0,0,0
2026-07-09,11,0,0,0
2026-07-10,15,0,0,0
2026-07-11,17,0,0,0
2026-07-12,19,0,0,0
2026-07-13,16,0,0,0
2026-07-14,12,0,0,0
2026-07-15,11,0,0,0
2026-07-16,20,0,0,0
2026-07-17,17,0,0,0
2026-07-18,14,0,0,0
2026-07-19,12,0,0,0
2026-07-20,16,0,0,0
2026-07-21,18,0,0,0
2026-07-22,20,0,0,0
2026-07-23,15,0,0,0
2026-07-24,100,4,7,13
2026-07-25,34,1,2,4
2026-07-26,16,0,1,2
